anime_id,anime_name,recommendation_count
8841,Kore wa Zombie Desu ka?,1554
8861,"Yosuga no Sora: In Solitude, Where We Are Least Alone.",90
8888,Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,203
8937,Toaru Majutsu no Index II,515
9041,IS: Infinite Stratos,796
9062,Angel Beats! Specials,13
9074,Arakawa Under the Bridge x Bridge,8
9135,Fullmetal Alchemist: The Sacred Star of Milos,402
9136,Kuroshitsuji II Specials,16
9181,Motto To LOVE-Ru,385
9252,Break Blade 3: Kyoujin no Ato,25
9253,Steins;Gate,6053
9260,Kizumonogatari I: Tekketsu-hen,1
9289,Hanasaku Iroha,102
9330,Dragon Crisis!,49
9331,Yumekui Merry,7
9366,Kaichou wa Maid-sama!: Omake dayo!,2
9367,Freezing,317
9379,Denpa Onna to Seishun Otoko,99
9465,Break Blade 4: Sanka no Chi,21
9471,Baka to Test to Shoukanjuu: Matsuri,32
9513,Beelzebub,198
9515,Highschool of the Dead: Drifters of the Dead,222
9587,Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!,1
9617,K-On! Movie,794
